epoch,acc,class_loss,loc_loss,loss,val_acc,val_class_loss,val_loc_loss,val_loss
0,0.118088783,10.81472705,32.01567053,44.5494582,0.258474588,0,0,1.718989611
1,0.301418884,3.462672999,24.57845824,29.76023907,0.373797536,0,0,1.719163299
2,0.389966752,2.543222109,1.353077386,5.615501306,0.425790191,0,0,1.719224095
3,0.422720095,2.297075852,1.551537737,5.567845073,0.546953738,0,0,1.719230175
4,0.46698011,2.047616442,0.81298141,4.579846294,0.487402648,0,0,1.719239712
5,0.443346419,2.672288077,1.082821508,5.474339228,0.510535955,0,0,1.71921587
6,0.457823272,2.546279229,1.238484455,5.503952615,0.536990404,0,0,1.719182611
7,0.468148905,2.51525306,1.300697728,5.535180929,0.516834617,0,0,1.719276428
8,0.473555459,1.443137308,0.53625888,3.698643926,0.510077894,0,0,1.71921277
9,0.525863563,2.886322122,0.853082877,5.458531609,0.631814003,0,0,1.719134569
10,0.540187744,2.895595927,0.841361993,5.456074448,0.648305058,0,0,1.719130874
11,0.544464222,1.622070651,0.75372729,4.094935265,0.623912036,0,0,1.719148755
12,0.506032053,2.298408048,0.930785517,4.948357973,0.573179126,0,0,1.719172955
13,0.538902957,1.87684235,0.612408215,4.208450913,0.597915709,0,0,1.719204068
14,0.541167116,2.022880563,0.712945361,4.454990637,0.569743454,0,0,1.719159961
15,0.560384502,1.968973734,0.691198793,4.37930444,0.615552008,0,0,1.719092369
16,0.543131476,1.317372819,0.526284029,3.562757255,0.558405876,0,0,1.719120145
17,0.548654052,2.168048572,0.836191094,4.723260189,0.556802571,0,0,1.718962073
18,0.525326816,1.739566009,0.64178952,4.100369763,0.515345871,0,0,1.719053149
19,0.481281924,1.895019069,0.74648108,4.360537884,0.474232703,0,0,1.718979836
20,0.421570087,1.504942409,11.69882917,14.92276262,0.444800735,0,0,1.718979597
21,0.428159176,2.014390066,3.252265652,6.985589087,0.463811278,0,0,1.718939662
22,0.432215881,1.035036327,0.452298171,3.206288621,0.440907001,0,0,1.718978405
23,0.455229187,1.636809015,0.641425293,3.997176896,0.467475951,0,0,1.718952417
24,0.465685661,1.220861772,0.48650538,3.426264466,0.50893265,0,0,1.718877316
25,0.535785582,1.20312565,0.435520111,3.357462101,0.584173143,0,0,1.71874404
26,0.563465845,1.56778002,0.70065148,3.987142301,0.528286755,0,0,1.718714833
27,0.457165919,1.043568409,0.48814631,3.250403877,0.427966088,0,0,1.718660355
28,0.452964527,1.352343473,0.657902512,3.728844054,0.500687122,0,0,1.718558311
29,0.4856595,1.69514656,0.395544925,3.809219248,0.448808968,0,0,1.718561769
30,0.459086907,1.286489593,0.622198662,3.627195303,0.449610621,0,0,1.718489408
31,0.503078401,1.311700808,0.424210914,3.454317819,0.512940884,0,0,1.718316436
32,0.518879444,1.197654005,0.322335721,3.238314949,0.483394414,0,0,1.718318939
33,0.461414302,1.465625437,9.361301625,12.54518391,0.461520851,0,0,1.718208075
