epoch,loss,val_loss
0,60.88239205,65.15142417
1,15.32159011,10.03806225
2,10.04395675,9.073789994
3,9.471530161,8.785836426
4,9.350087951,8.670725244
5,9.110395381,8.456242566
6,8.913900782,8.441285989
7,8.768838586,8.272519615
8,8.621643287,8.062542759
9,8.44860494,8.014004553
9,8.478475967,8.121178681
10,8.643592561,7.953901626
11,8.374204423,7.93752948
12,8.200263046,7.826923775
13,8.287253878,7.724019387
14,8.116632817,7.799092817
15,8.005901507,7.748267537
16,7.887714352,7.636916254
17,7.858814725,7.600320438
18,7.712527081,7.455494711
19,7.603471503,7.442034587
20,7.604368893,7.45912369
21,7.52502133,7.445243085
22,7.418481872,7.429233636
23,7.381189714,7.287354197
24,7.345961207,7.317953739
25,7.210548148,7.28114859
26,7.305733149,7.224040187
27,7.122396449,7.258342999
28,7.098354639,7.181734824
29,7.129678646,7.105918551
30,7.134398882,7.038047612
31,6.975264372,7.181749542
32,6.91460975,7.140473305
33,6.905094571,7.122628718
34,6.895091526,7.204093052
35,6.830714036,7.180309613
18,7.667096614,7.460966127
19,7.573414347,7.457215131
20,7.570163579,7.424095551
21,7.518064126,7.394744335
22,7.474925341,7.415515509
23,7.527069777,7.370594612
24,7.411510824,7.377158754
25,7.312498234,7.351136713
26,7.431072383,7.364203454
27,7.386083365,7.298809027
28,7.305888301,7.320417483
29,7.27525477,7.320496141
30,7.311948618,7.271999609
31,7.265852703,7.243786353
32,7.177195326,7.206448579
33,7.136795392,7.270586209
34,7.183493197,7.204792427
35,7.21700049,7.274884083
36,7.193278613,7.234685642
37,7.1246236,7.119426953
38,7.059637152,7.163021505
39,7.026316127,7.134376176
40,7.009085436,7.180651177
41,6.993072914,7.157563041
42,6.929195459,7.105376691
43,6.899801868,7.105604551
44,6.956704245,7.135707371
45,6.863063968,7.106273146
46,6.932024338,7.102658105
47,6.789426476,7.095900347
48,6.754958291,7.070236215
49,6.759919975,7.038375882
50,6.725575647,7.047438841
51,6.699480746,7.034393905
52,6.732073421,7.06101632
53,6.702610188,6.982855303
54,6.780159936,7.067208034
55,6.693640689,7.047219783
56,6.701475803,7.083144194
57,6.702388464,6.949387717
58,6.729846636,7.109706151
59,6.587246892,7.094729101
60,6.589011443,6.980949239
61,6.50816607,6.994653653
62,6.614082589,6.972927266
63,6.576820589,6.906233125
64,6.552710375,6.947972146
65,6.506459729,6.937882589
66,6.532351507,6.892466231
67,6.459143307,6.925835802
68,6.440000052,7.011885526
69,6.449391592,7.053485699
70,6.44422955,6.929708032
71,6.511471807,6.979226984
72,6.500744874,6.98529176
73,6.376753598,6.980042076
74,6.381056182,6.955516656
75,6.389487903,7.006093995
76,6.326114844,6.935464024
77,6.273645234,7.016493525
78,6.374397424,7.046662355
79,6.386808613,6.916705208
80,6.322269864,6.931241549
81,6.256535147,6.870518818
82,6.219334959,6.915616529
83,6.254021955,6.92734914
84,6.140432816,7.018577639
85,6.167895808,6.917628862
86,6.214318394,6.938328489
87,6.160148756,6.93998308
88,6.149493894,6.960901661
89,6.199751123,6.903180775
90,6.112072168,6.926235557
91,6.234889162,7.042594269
92,6.199161547,6.967230397
93,6.191211374,7.015154531
94,6.202717555,6.876574937
95,6.092703606,6.855359179
96,6.073933943,6.869892499
97,6.120436003,6.947932838
98,6.084988915,7.038647402
99,5.977129082,7.013033106
30,7.327023020330465,7.26535824384928
31,7.203367095323479,7.225966181522615
32,7.127595195530346,7.245301554482602
33,7.278600142137059,7.24135896810901
34,7.129102577137042,7.165721449770318
35,7.167023185514054,7.164346686150874
36,7.210429209583211,7.165687932955575
37,7.1059880550552466,7.222932018938429
38,7.079341456256335,7.202492339494828
39,7.138722828799073,7.196934098154503
40,7.104674661984234,7.1887537713735625
41,7.057585706650836,7.1730942946020635
42,7.014888317373734,7.163436852582045
43,6.960329477442135,7.122474606329273
44,7.096445770983426,7.164412302462009
45,7.109003617628566,7.128838490120507
46,7.034218371889127,7.098030361733418
47,6.986574113821682,7.148398398724783
48,7.067643197377523,7.107823803490801
