,epoch,loss,val_loss
0,1,17.992750544518046,10.600713991898367
1,2,10.465358995641552,9.538659101011335
2,3,9.920314117047774,9.154381473913807
3,4,9.74132209034086,9.196515363266766
4,5,9.542196798928176,8.884054315139371
5,6,9.429360825160764,8.738882697759992
6,7,9.105016890711754,8.787166516751338
7,8,9.12102018872147,8.594441446018351
8,9,9.043851511991477,8.587596721465518
9,10,8.909502292129227,8.441735272217844
10,11,8.900931168802131,8.490959936191816
11,12,8.740448182783787,8.207455796854836
12,13,8.719035511982591,8.379106452176861
13,14,8.605169347247237,8.11511277300971
14,15,8.459143016623251,8.115144000256734
15,16,8.557598163196875,8.071447559367185
16,17,8.427146203862796,8.07316523831353
17,18,8.315318164342568,7.989095143656999
18,19,8.264615213646081,7.992117690252964
19,20,8.223488117313984,7.981795837003558
20,21,8.183274457439687,7.875229861746137
21,22,8.135164526444447,7.923901613673612
22,23,8.082357147504696,7.902574153391869
23,24,8.146561036019955,7.696451125479466
24,25,8.055179540166314,7.756232514486207
25,26,8.080282924748673,7.767431856933958
26,27,7.985394938486928,7.68383847174979
27,28,7.833284535198093,7.595604382978017
28,29,7.8664975568183575,7.710482669955909
29,30,7.82159945210324,7.668794446995037
30,31,7.873747946181388,7.668662540194421
