epoch,loss,val_loss
0,15.610782472142633,9.495469163686076
1,9.711595898754192,8.679695104264773
2,9.17914928220353,8.108334694612324
3,8.669888248083726,7.746363339530935
4,8.257045698769485,7.732166005688693
5,7.963887615923611,7.7936391089116475
6,7.762357919920915,7.22097722406601
7,7.529637112407564,7.226258541755525
8,7.183089809779879,7.096813022226527
9,7.217826498979292,7.243996081773157
10,6.9510238533499855,6.991015764721454
11,6.848199645228356,6.948280176783425
12,6.7971425279786315,6.731339515590542
13,6.616311100294006,6.85549897732942
14,6.588766042841305,6.717745857590586
15,6.5039801789529665,6.680027405106817
16,6.308120008984452,6.607926274476786
17,6.230031527144999,6.705900428480468
18,6.136222178381194,6.82551212210272
19,6.218417693683937,6.740256552011442
20,6.16606099890463,6.727414584756683
21,6.050581727450407,6.598170571961736
22,6.189796363182787,6.61357676087632
23,6.079356627194387,6.4090451038245
24,5.999259440104167,6.592573465565919
25,5.934899278833896,6.850343194717789
26,5.919137317129651,6.779363291065684
27,5.808673408796203,6.617399907394831
28,5.698322772979736,6.408883780201747
29,5.7994715237919285,6.453314680669933
30,5.701415462613856,6.763344794865183
31,5.752993721032293,6.702290372886205
32,5.700066810583919,6.41664146403236
33,5.894000732373891,6.580198078130388
34,5.649813181237329,6.650554096588818
35,5.496586742041246,6.6694399220513105
36,5.535965684974719,6.587247189482839
37,5.4974733868484975,6.55222331111139
38,5.297491823268842,6.63058363621728
39,5.403065392356249,6.682055162975125
40,5.349406698214933,6.5782700916838115
41,5.336386820355301,6.792878400981033
42,5.489053849932514,6.889401582861135
43,5.323415213410959,7.020780252373737
44,5.368372827805813,6.637486261812595
45,5.338661316805665,6.752265339626468
46,5.432237718075137,6.971798166141837
47,5.40452495850857,6.804216053803134
48,5.342264286377145,6.738985128239366
49,5.313115562582916,6.6663897731715664
