epoch,loss,val_loss
0,20.31135617,12.76960594
1,12.21330643,9.917705516
1,12.18399551,9.941110782
2,10.45728369,8.920836899
2,10.52129025,8.948551873
3,9.802607427,8.517065119
3,9.830316428,8.548100089
4,9.481849421,8.318284669
4,9.418038821,8.291531534
5,9.086616181,8.142465378
5,9.344849101,8.14104262
6,9.123107202,7.989711919
6,9.091656873,8.000540596
7,8.898162307,7.910104298
7,8.792511681,7.8763686
8,8.752701417,7.789774624
8,8.712779987,7.789217788
9,8.662573826,7.699021704
9,8.601764786,7.69202518
10,8.50410432,7.621828197
10,8.599626674,7.61120751
11,8.453295361,7.561020096
11,8.430443279,7.565589752
12,8.408186198,7.502865528
12,8.39821379,7.482895636
13,8.331855456,7.450312064
13,8.273452105,7.452942571
14,8.096041128,7.383714562
14,8.234940905,7.390073276
15,8.079056292,7.329976394
16,7.99007388,7.291440907
15,7.995877557,7.330425242
17,8.046089362,7.259633266
16,8.108224538,7.280020086
18,8.04527513,7.217569027
17,8.046846058,7.250521092
19,7.860821357,7.181498658
18,7.81190602,7.198554326
20,7.939700581,7.112717313
19,7.954378067,7.154661521
21,7.858752732,7.08304942
20,7.829558274,7.126150744
22,7.70724864,7.06006282
21,7.70161669,7.104237642
23,7.709524523,7.036607027
22,7.821833943,7.046991053
24,7.621956737,6.987701611
23,7.680412316,7.023787693
25,7.592583518,6.962594988
24,7.641169162,6.99977498
26,7.569901087,6.938001655
27,7.623600468,6.913036659
25,7.67397065,6.972703588
28,7.581799105,6.894912015
26,7.529023824,6.930470305
29,7.512969043,6.868459458
27,7.530815808,6.913157604
30,7.412630857,6.839305888
28,7.499986956,6.873517666
31,7.536373881,6.824573446
29,7.348101797,6.853056061
32,7.346649206,6.788275339
30,7.447718718,6.842976953
33,7.29721026,6.75505641
31,7.418798439,6.802594848
34,7.32075169,6.739273112
32,7.38964824,6.791739071
35,7.305381695,6.731573078
33,7.345059462,6.754554607
36,7.358852522,6.711955782
34,7.409733652,6.752121509
37,7.345982564,6.692923747
35,7.367857762,6.715388725
38,7.263883433,6.657913735
36,7.188573426,6.715295113
39,7.243201179,6.632264602
