epoch,loss,val_loss
0,20.65440232,13.44755745
1,11.02656567,1.317847133
2,9.650244007,7.28181076
3,9.21490386,8.465544701
4,9.044795675,6.5860672
5,8.720537267,7.36915493
6,8.661483698,8.282749176
7,8.553743362,8.178845406
8,8.40435842,7.29027462
9,8.402254682,8.176537514
10,8.285787582,6.904523373
11,8.177513709,7.593225479
12,8.165319791,5.499491215
13,8.20499577,5.834712029
14,8.122834258,7.727338791
15,8.010619369,8.216160774
16,8.122971578,6.542830467
17,7.847115569,7.833150864
18,7.914490004,7.96859026
19,8.045905724,8.808678627
20,7.922111459,7.966890812
21,7.919199181,4.889570236
22,7.878967495,9.931963921
23,7.727117009,5.683391571
24,7.600444822,1.31529212
25,7.687146492,7.244853497
26,7.636612577,9.877137184
27,7.663173237,8.769018173
28,7.503062825,4.887985229
29,7.526556334,7.56365633
30,7.555135283,4.993150234
31,7.406727133,6.991406441
32,7.356471734,11.45322132
33,7.443205786,7.2170434
34,7.373249388,6.057122231
35,7.419760537,6.706048489
36,7.337140927,1.31482327
37,7.502118554,4.534754276
38,7.245979323,5.808586121
39,7.497210183,7.563621998
40,7.312741609,5.886434078
41,7.386750665,9.319274902
42,7.320019088,4.992794991
43,7.466151204,6.690135479
44,7.392281346,6.002782822
45,7.27332655,9.030976295
46,7.396784697,3.909834862
47,7.324635501,8.12087059
48,7.2890169,6.136561871
49,7.423107285,5.832179546
50,7.219281287,11.07296848
51,7.279163494,9.701621056
52,7.280834856,5.349771023
53,7.295362225,4.121057034
54,7.297499981,5.218948364
55,7.239212923,5.849416256
56,7.191188898,6.998816967
57,7.268401294,4.394039154
58,7.281435943,10.62990856
59,7.190664229,11.30900669
60,7.224683399,1.314498544
61,5.852846727371216,7.906732082366943
62,6.187732167243958,8.035028457641602
63,6.3804617547988896,8.347805976867676
64,6.355121259689331,8.113302230834961
65,6.385468521118164,7.845954418182373
66,7.040229530334472,7.768094062805176
67,6.703111109733581,7.594368934631348
68,6.195795640945435,7.470193862915039
69,6.356895895004272,7.3134846687316895
70,6.322214241027832,7.399233341217041
71,7.057186789512635,7.282835006713867
72,6.222585964202881,7.289261817932129
73,6.309536280632019,7.647763252258301
74,6.528038153648376,7.500946521759033
75,7.129028897285462,7.93503475189209
76,6.889606342315674,7.841564178466797
77,6.7666325283050535,7.855996131896973
78,6.2954388523101805,8.119637489318848
79,6.2847903537750245,7.76699161529541
80,6.458840122222901,7.370548248291016
81,6.0145272588729854,7.5442938804626465
82,6.416603832244873,7.679514408111572
83,5.492108092308045,7.979827880859375
84,6.4766304063797,7.815945625305176
85,6.509998588562012,7.746353626251221
86,7.005613737106323,7.947122573852539
87,5.925958423614502,8.402998924255371
88,6.600561785697937,8.302824974060059
89,6.762165169715882,7.993767261505127
90,5.612064270973206,7.765544414520264
91,7.000548620223999,7.690764904022217
92,7.120736927986145,7.709670066833496
93,6.669295473098755,7.754302501678467
94,6.632446041107178,7.447057247161865
95,7.242743072509765,7.696298599243164
96,6.451163110733032,7.6725873947143555
97,6.470383605957031,7.94608736038208
98,6.350468153953552,7.943676471710205
99,6.352939152717591,7.750434875488281
