epoch,loss,val_loss
0,14.99964105606079,18.37009048461914
1,7.894469375610352,13.873689651489258
2,7.629461646080017,14.864836692810059
3,6.689065899848938,13.719074249267578
4,6.154274919033051,14.744287490844727
5,6.697293200492859,13.142056465148926
6,6.614872236251831,11.617378234863281
7,6.5319504022598265,13.5630464553833
8,5.616563763618469,13.412378311157227
9,6.058352375030518,13.56127643585205
10,6.643149666786194,13.497868537902832
11,6.4586244440078735,12.630401611328125
12,6.789841437339783,11.271453857421875
13,6.773163633346558,12.345285415649414
14,6.749021410942078,12.210556983947754
15,6.672990798950195,12.900554656982422
16,7.424544906616211,11.162675857543945
17,5.793990836143494,11.732239723205566
18,6.293960180282593,12.763809204101562
19,6.272600417137146,10.834067344665527
20,6.374623045921326,10.102219581604004
21,7.942149958610535,10.655091285705566
22,5.88874502658844,10.842286109924316
23,6.298531827926635,11.00873851776123
24,5.7697870683670045,10.994309425354004
25,6.275291042327881,11.454001426696777
26,6.427212400436401,11.161211967468262
27,6.068666288852691,11.34280776977539
28,10.534467027187347,11.614065170288086
29,6.647468347549438,11.15329360961914
30,7.2373999500274655,11.372969627380371
31,7.18336256980896,13.163768768310547
32,7.583589100837708,11.536471366882324
33,7.078247013092041,10.751449584960938
34,7.945519857406616,10.528764724731445
35,6.893626999855042,10.202515602111816
36,7.324544491767884,10.785370826721191
37,7.052234244346619,11.097898483276367
38,7.76512770652771,11.880450248718262
39,7.525957822799683,10.336749076843262
40,7.527870264053345,12.216436386108398
